                                mean        sd    hdi_3%   hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
sigma_y[1]                   565.419    44.496   487.066   648.333      9.323    5.323      25.0      50.0   1.22
sigma_y[2]                   455.252    92.891   328.503   592.792     30.892    0.501      13.0     417.0   1.69
sigma_y[3]                   665.805    52.504   573.427   764.289     11.196    1.645      23.0     154.0   1.25
sigma_y[4]                  4881.959  2251.717  1882.909  7668.210    778.205   91.250      11.0      23.0   2.07
sigma_y[5]                   526.627   327.564   233.703  1009.877    114.053   30.228      12.0      94.0   1.73
sigma_y[6]                   453.712   256.008   224.486   840.234     88.981   23.594      13.0     140.0   1.64
sigma_y[7]                   433.274    62.895   322.451   548.368     18.894    8.295      12.0      29.0   1.85
sigma_y[8]                   237.889    28.151   195.159   295.033      8.278    5.325      13.0      27.0   1.64
sigma_y[9]                   270.773    95.975   159.346   411.849     32.996    7.104      11.0     112.0   1.89
sigma_y[10]                  204.275    17.248   172.219   236.509      3.416    1.171      25.0     102.0   1.22
sigma_y[11]                 1017.198   117.792   820.607  1236.716     31.047    3.316      15.0     190.0   1.51
sigma_y[12]                  330.940   101.113   224.268   493.454     34.574    9.383      13.0     117.0   1.65
sigma_y[13]                  320.108    80.306   227.037   451.435     27.194    7.438      13.0     118.0   1.70
